Marka,Model,Cena,Waluta,Paliwo,Przebieg,Rocznik,Skrzynia biegów,Pojemność silnika
Ford,Ford Focus 1.0 EcoBoost Titanium ASS,12000,PLN,Benzyna,164544,2013,Manualna,1.0
Ford,Ford B-MAX 1.0 EcoBoost Individual,19000,PLN,Benzyna,140000,2013,Manualna,1.0
Renault,Renault Captur,31500,PLN,Benzyna,153000,2017,Automatyczna,NULL
BMW,BMW Seria 2 220i Sport-Aut Sport Line,21900,PLN,Benzyna,103511,2019,Automatyczna,NULL
Volkswagen,Volkswagen Golf 1.2 TSI Trendline,13000,PLN,Benzyna,210000,2010,Manualna,1.2
Volkswagen,Volkswagen Touran,8800,PLN,Benzyna,303000,2003,Manualna,NULL
MINI,MINI Clubman Cooper,44900,PLN,Benzyna,169601,2017,Automatyczna,NULL
Volkswagen,Volkswagen Caddy,25900,PLN,Diesel,318236,2014,Manualna,NULL
BMW,BMW Seria 3 320d xDrive M Sport Shadow,189800,PLN,Diesel,45000,2024,Automatyczna,NULL
Kia,Kia Rio 1.0 T-GDI MHEV GT Line,45990,PLN,Benzyna,75953,2021,Manualna,1.0
BMW,BMW Seria 5 520d xDrive,222800,PLN,Diesel,72000,2024,Automatyczna,NULL
Renault,Renault Megane 1.2 16V TCe Energy Limited,15700,PLN,Benzyna,180000,2013,Manualna,1.2
Suzuki,Suzuki Vitara 1.4 Boosterjet XLED Sun 4WD,69900,PLN,Benzyna,104000,2020,Manualna,1.4
Skoda,Skoda Octavia 2.0 TDI Ambition DSG,70970,PLN,Diesel,148836,2022,Automatyczna,2.0
Opel,Opel Astra,8400,PLN,Benzyna,195000,2009,Manualna,NULL
Renault,Renault Grand Scenic Energy dCi 130 Start & Stop Bose Edition,19900,PLN,Diesel,280001,2012,Manualna,NULL
Opel,Opel Astra 1.7 CDTI DPF Sport,14000,PLN,Diesel,180000,2012,Manualna,1.7
Skoda,Skoda Fabia,26500,PLN,Benzyna,155025,2017,Manualna,NULL
Toyota,Toyota Proace Verso,153840,PLN,Diesel,63088,2024,Manualna,NULL
Kia,Kia Ceed 1.6 GDI Fifa World Cup Edition,36900,PLN,Benzyna,156000,2016,Manualna,1.6
Honda,Honda Civic 1.8 Comfort,16000,PLN,Benzyna,260000,2009,Manualna,1.8
BMW,BMW Seria 4 420d xDrive M Sport sport,239800,PLN,Diesel,14700,2025,Automatyczna,NULL
Hyundai,Hyundai i30 1.6 Premium,31900,PLN,Benzyna,145730,2015,Manualna,1.6
Citroën,Citroën C5 Aircross 1.6 PHEV 225 Shine Pack EAT8,74700,PLN,Hybryda Plug-in,148400,2022,Automatyczna,1.6
Renault,Renault Megane,4000,PLN,Diesel,246000,2005,Manualna,NULL
Opel,Opel Meriva,14000,PLN,Benzyna,181000,2011,Manualna,NULL
Jeep,Jeep Grand Cherokee,95400,PLN,Benzyna,174841,2017,Automatyczna,NULL
Renault,Renault Clio Energy TCe 90 Start & Stop 99g Eco-Drive,20900,PLN,Benzyna,156032,2013,Manualna,NULL
Hyundai,Hyundai ix35 2.0 CRDi 4WD Premium,38900,PLN,Diesel,150000,2014,Manualna,2.0
Kia,Kia Ceed 1.6 GDI Dream Team Edition,31900,PLN,Benzyna,170000,2015,Manualna,1.6
BMW,BMW X2,96900,PLN,Diesel,85000,2022,Automatyczna,NULL
Opel,Opel Insignia 2.0 CDTI Edition,31000,PLN,Diesel,179797,2016,Automatyczna,2.0
Opel,Opel Mokka 1.4 Turbo ecoFLEX Start/Stop Color Innovation,42900,PLN,Benzyna,80617,2015,Manualna,1.4
Toyota,Toyota Avensis 2.0 Prestige MS,44500,PLN,Benzyna+LPG,204764,2016,Automatyczna,2.0
Volvo,Volvo V60 B4 D Inscription,68000,PLN,Diesel,209000,2020,Automatyczna,NULL
Lancia,Lancia Ypsilon,6999,PLN,Benzyna,115000,2007,Manualna,NULL
Mitsubishi,Mitsubishi Outlander,17999,PLN,Diesel,178000,2009,Manualna,NULL
Abarth,Abarth 500 ver-1-4-16v-t--jet-abarth,34000,PLN,Benzyna,154735,2016,Manualna,NULL
Citroën,Citroën DS3,21500,PLN,Benzyna,98000,2013,Manualna,NULL
Land Rover,Land Rover Range Rover Velar 2.0 Si4 GPF R-Dynamic SE,137700,PLN,Benzyna,95000,2018,Automatyczna,2.0
Renault,Renault Modus 1.2 16V Alize,4500,PLN,Benzyna,188755,2005,Manualna,1.2
Ford,Ford Fiesta 1.5 EcoBoost ST2 ASS,56666,PLN,Benzyna,110000,2019,Manualna,1.5
Ford,Ford EcoSport 1.0 EcoBoost Titanium ASS,56600,PLN,Benzyna,79200,2020,Manualna,1.0
Ford,Ford EcoSport,28800,PLN,Benzyna,69600,2016,Manualna,NULL
BMW,BMW X1 xDrive20i M Sport,97500,PLN,Benzyna,72000,2019,Automatyczna,NULL
BMW,BMW Seria 3 318 Ci Edition Exclusive,24900,PLN,Benzyna,232555,2004,Manualna,NULL
Ford,Ford Focus 1.5 EcoBlue Start-Stopp-System ACTIVE X,52999,PLN,Diesel,161000,2021,Automatyczna,1.5
Skoda,Skoda Fabia 1.4 TDI DSG Ambition,29700,PLN,Diesel,169000,2016,Automatyczna,1.4
Peugeot,Peugeot 208 PureTech 100 Allure,46999,PLN,Benzyna,56000,2023,Manualna,NULL
Ford,Ford EcoSport 1.0 EcoBoost ST-Line Black ASS,49900,PLN,Benzyna,58200,2020,Manualna,1.0
Mazda,Mazda 6 Sport 2.0 Dynamic,14900,PLN,Benzyna,239500,2008,Manualna,2.0
Opel,Opel Grandland X 1.2 Start/Stop Automatik INNOVATION,52999,PLN,Benzyna,134000,2020,Automatyczna,1.2
Ford,Ford C-MAX 1.6 Ti-VCT Ambiente,14999,PLN,Benzyna,239000,2011,Manualna,1.6
Nissan,Nissan Qashqai 1.3 DIG-T N-Connecta,59999,PLN,Benzyna,81000,2019,Manualna,1.3
Audi,Audi A4 Avant 1.8 TFSI Prime Line,24700,PLN,Benzyna,162000,2010,Manualna,1.8
Peugeot,Peugeot 208 BlueHDi 100 Active,26700,PLN,Diesel,87026,2018,Manualna,NULL
